City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,2.56,75,66,14.05,TF,1696307472
1,carnarvon,-24.8667,113.6333,23.64,34,0,7.93,AU,1696307473
2,longyearbyen,78.2186,15.6401,-3.09,59,75,9.26,SJ,1696307473
3,nuuk,64.1835,-51.7216,3.34,75,75,1.54,GL,1696307473
4,talnakh,69.4865,88.3972,1.23,97,100,6.53,RU,1696307473
5,adamstown,-25.066,-130.1015,20.09,76,54,10.2,PN,1696307265
6,bethel,41.3712,-73.414,15.92,87,0,0.0,US,1696307474
7,iqaluit,63.7506,-68.5145,2.85,86,100,3.6,CA,1696307474
8,amal,59.051,12.7049,12.15,87,100,4.77,SE,1696307474
9,mossel bay,-34.1831,22.146,11.96,79,0,4.67,ZA,1696307474
10,dimako,4.3833,13.5667,20.52,100,100,0.77,CM,1696307475
11,grytviken,-54.2811,-36.5092,0.86,64,99,4.36,GS,1696307475
12,nadym,65.5333,72.5167,5.07,62,92,10.91,RU,1696307475
13,joao pinheiro,-17.7425,-46.1725,20.88,85,100,2.96,BR,1696307475
14,klaksvik,62.2266,-6.589,9.51,84,73,5.17,FO,1696307475
15,kodiak,57.79,-152.4072,6.73,45,0,9.26,US,1696307476
16,bilibino,68.0546,166.4372,-5.02,97,83,1.44,RU,1696307476
17,isafjordur,66.0755,-23.124,1.22,93,100,6.9,IS,1696307476
18,edson,53.5835,-116.4356,7.08,93,0,2.06,CA,1696307476
19,colonia,50.9333,6.95,22.36,74,0,4.63,DE,1696307477
20,sterling,39.0062,-77.4286,20.09,87,40,1.54,US,1696307299
21,illapel,-31.6308,-71.1653,10.08,89,59,0.87,CL,1696307477
22,port douglas,-16.4833,145.4667,25.21,72,61,4.15,AU,1696307477
23,nizhnesortymskiy,62.4397,71.7603,10.51,77,35,6.77,RU,1696307477
24,iskateley,67.6803,53.1512,3.9,78,65,9.39,RU,1696307476
25,north bend,43.4065,-124.2243,15.51,100,100,3.09,US,1696307478
26,rufino,-34.2683,-62.7126,13.95,54,69,5.52,AR,1696307478
27,sandnessjoen,66.0217,12.6316,9.12,93,75,4.63,NO,1696307478
28,puerto natales,-51.7236,-72.4875,3.12,95,100,1.85,CL,1696307478
29,cidreira,-30.1811,-50.2056,14.4,84,7,3.93,BR,1696307479
30,uturoa,-16.7333,-151.4333,25.58,85,4,6.8,PF,1696307479
31,opuwo,-18.0607,13.84,24.14,24,18,5.68,NA,1696307479
32,labytnangi,66.6572,66.4183,2.25,60,16,7.37,RU,1696307479
33,constantia,44.1833,28.65,10.39,56,1,3.58,RO,1696307480
34,blackmans bay,-43.0167,147.3167,19.07,46,81,4.17,AU,1696307480
35,bakanas,44.8081,76.2772,18.69,32,26,4.84,KZ,1696307480
36,saipan,15.1355,145.701,31.39,74,40,5.66,MP,1696307480
37,sainte-suzanne,-20.9061,55.6089,26.17,71,0,1.03,RE,1696307481
38,whitehorse,60.7161,-135.0538,8.43,68,75,5.14,CA,1696307481
39,vilyuchinsk,52.9306,158.4028,9.15,81,100,2.27,RU,1696307481
40,kapuskasing,49.4169,-82.4331,18.05,88,20,2.06,CA,1696307481
41,vanino,49.0869,140.2543,13.29,56,64,4.97,RU,1696307481
42,susuman,62.7833,148.1667,1.66,61,7,1.79,RU,1696307482
43,broken hill,-31.95,141.4333,25.75,35,96,9.68,AU,1696307260
44,thompson,55.7435,-97.8558,6.09,100,100,0.0,CA,1696307482
45,kulhudhuffushi,6.6221,73.07,27.65,80,94,6.64,MV,1696307482
46,bredasdorp,-34.5322,20.0403,13.47,93,17,1.73,ZA,1696307483
47,tshikapa,-6.4167,20.8,22.35,89,88,1.1,CD,1696307483
48,alice springs,-23.7,133.8833,35.75,14,40,6.69,AU,1696307483
49,hithadhoo,-0.6,73.0833,27.94,76,87,5.12,MV,1696307483
50,albany,42.6001,-73.9662,13.77,89,8,0.89,US,1696307416
51,ushuaia,-54.8,-68.3,5.81,70,75,1.03,AR,1696307426
52,georgetown,5.4112,100.3354,33.3,76,20,3.09,MY,1696307413
53,yellowknife,62.456,-114.3525,8.56,100,100,1.03,CA,1696307348
54,kashgar,39.4547,75.9797,20.56,26,0,3.0,CN,1696307484
55,tiksi,71.6872,128.8694,-2.09,83,88,7.35,RU,1696307484
56,mil'kovo,55.6078,37.7956,8.73,77,46,2.58,RU,1696307485
57,palmer,42.1584,-72.3287,14.23,90,0,1.54,US,1696307485
58,okha,53.5739,142.9478,9.61,73,100,8.87,RU,1696307485
59,ust-nera,64.5667,143.2,1.79,68,27,1.34,RU,1696307485
60,amarante,-6.2411,-42.8547,26.05,38,73,1.77,BR,1696307286
61,edinburgh of the seven seas,-37.0676,-12.3116,9.91,59,81,9.42,SH,1696307486
62,waitangi,-43.9535,-176.5597,8.23,86,97,6.26,NZ,1696307486
